organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	identificationRemarks	occurrenceID	materialSampleID
344079	present	Hugo Gante	eDNA expeditions citizen science sampling	453071	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0083	EE0083
113436	present	Hugo Gante	eDNA expeditions citizen science sampling	200609	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0045	EE0045
69401	present	Hugo Gante	eDNA expeditions citizen science sampling	232067	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sillaginidae	Sillago		Sillago schomburgkii	urn:lsid:marinespecies.org:taxname:273953	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Sillaginidae;Sillago;Sillago_schomburgkii, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KX234653,KX234652, identities 100,100, taxonomy Sillago_schomburgkii,Sillago_schomburgkii, consensus Eukaryota;Chordata;Actinopteri;Sillaginidae;Sillago;Sillago_schomburgkii.	asv.3_EE0047	EE0047
68645	present	Hugo Gante	eDNA expeditions citizen science sampling	247816	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0043	EE0043
65208	present	Hugo Gante	eDNA expeditions citizen science sampling	176989	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0078	EE0078
62319	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sparidae	Acanthopagrus		Acanthopagrus schlegelii	urn:lsid:marinespecies.org:taxname:293534	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Acanthopagrus;Acanthopagrus_schlegelii, confidences 1;1;1;1;1;0.96;0.68. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits MK182268,JQ746035, identities 97,97, taxonomy Acanthopagrus_schlegelii_x_Pagrus_major,Acanthopagrus_schlegelii, consensus Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae.	asv.4_EE0062	EE0062
55903	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Gerreidae	Gerres		Gerres japonicus	urn:lsid:marinespecies.org:taxname:276958	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres;Gerres_japonicus, confidences 1;1;1;1;1;1;0.86. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits EU912570,MT023107, identities 98.5,98.5, taxonomy Gerres_japonicus,Gerres_decacanthus, consensus Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres.	asv.6_EE0062	EE0062
53354	present	Hugo Gante	eDNA expeditions citizen science sampling	453499	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Centrarchiformes	Terapontidae	Leiopotherapon		Leiopotherapon aheneus	urn:lsid:marinespecies.org:taxname:1013644	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Leiopotherapon;Leiopotherapon_aheneus, confidences 1;1;1;1;1;1;0.94. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AY935338,AY935339,AY935337,AY935336,AY935334,AY935333,AY935329,AY935328, identities 99.2,97.7,97.7,97.3,97.3,97.3,97.3,97.3, taxonomy Leiopotherapon_aheneus,Leiopotherapon_aheneus,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor,Leiopotherapon_unicolor, consensus Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Leiopotherapon;Leiopotherapon_unicolor.	asv.2_EE0062	EE0062
52941	present	Hugo Gante	eDNA expeditions citizen science sampling	232067	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo		Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.	asv.1_EE0047	EE0047
52832	present	Hugo Gante	eDNA expeditions citizen science sampling	356369	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Atheriniformes	Atherinidae			Atherinidae	urn:lsid:marinespecies.org:taxname:125438	family	Identification based on the RDP classifier at the confidence level 0.6: taxonomy Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus_eyresii, confidences 1;1;1;0.85;0.84;0.46;0.33. No VSEARCH hits at 0.97 identity.	asv.5_EE0046	EE0046
