asv	sum.taxonomy	identificationRemarks
1	asv.1	Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas_green_algae;Micromonas_pusilla	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas_green_algae;Micromonas_pusilla, confidences 1;1;1;1;1;1;1;1. Confirmation with VSEARCH against the COI_ncbi_1_50000 database at 0.97 similarity: hits AY955062,AY955056,AY955050,AY955057,AY955053,AY955054, identities 100,99,99,98.7,98.7,98.4, taxonomy Micromonas_pusilla,Micromonas_pusilla,Micromonas_pusilla,Micromonas_pusilla,Micromonas_pusilla,Micromonas_pusilla, consensus Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_pusilla.
2	asv.2	Eukaryota;Metazoa;Arthropoda	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Metazoa;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza_lappae, confidences 1;0.99;0.8;0.45;0.1;0.03;0.03;0.02. Confirmation with VSEARCH against the COI_ncbi_1_50000 database at 0.97 similarity: hits MN690160, identities 100, taxonomy Arthropoda_sp._ZP317, consensus Eukaryota;Arthropoda;Arthropoda_sp._ZP317.
3	asv.3	Eukaryota;undef_Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema_subsalsum, confidences 1;0.9;0.9;0.9;0.85;0.64;0.64;0.51. No VSEARCH hits at 0.97 identity.
4	asv.4	Eukaryota	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia_bajacali, confidences 1;0.5;0.43;0.43;0.15;0.14;0.12;0.11. No VSEARCH hits at 0.97 identity.
5	asv.5	Eukaryota;undef_Eukaryota;Haptophyta;undef_Haptophyta;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis_globosa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;Haptophyta;undef_Haptophyta;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis_globosa, confidences 1;1;1;1;1;1;1;1. Confirmation with VSEARCH against the COI_ncbi_1_50000 database at 0.97 similarity: hits MT760735,MT760785,MT760710, identities 99.7,98.3,98.1, taxonomy Phaeocystis_globosa,Phaeocystis_globosa,Phaeocystis_globosa, consensus Eukaryota;Haptophyta;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis_globosa.
6	asv.6	Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas_green_algae;Micromonas_pusilla	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas_green_algae;Micromonas_pusilla, confidences 1;1;1;1;1;1;1;1. Confirmation with VSEARCH against the COI_ncbi_1_50000 database at 0.97 similarity: hits AY955062,AY955056,AY955050,AY955057,AY955053,AY955054, identities 99.7,98.7,98.7,98.4,98.4,98.1, taxonomy Micromonas_pusilla,Micromonas_pusilla,Micromonas_pusilla,Micromonas_pusilla,Micromonas_pusilla,Micromonas_pusilla, consensus Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_pusilla.
7	asv.7	Eukaryota	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae;Ahnfeltiopsis;Ahnfeltiopsis_fastigiata, confidences 1;0.27;0.18;0.18;0.08;0.05;0.05;0.05. No VSEARCH hits at 0.97 identity.
8	asv.8	Eukaryota;undef_Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema_subsalsum, confidences 1;1;1;1;0.97;0.97;0.97;0.4. No VSEARCH hits at 0.97 identity.
9	asv.9	Eukaryota	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;Oomycota;undef_Oomycota;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_sulawesiensis, confidences 1;0.68;0.21;0.21;0.12;0.12;0.11;0.06. No VSEARCH hits at 0.97 identity.
10	asv.10	Eukaryota;Metazoa;Arthropoda	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Metazoa;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza_lappae, confidences 1;0.99;0.8;0.42;0.12;0.04;0.04;0.02. Confirmation with VSEARCH against the COI_ncbi_1_50000 database at 0.97 similarity: hits MN690160, identities 99.7, taxonomy Arthropoda_sp._ZP317, consensus Eukaryota;Arthropoda;Arthropoda_sp._ZP317.
