organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	identificationRemarks	scientificName	scientificNameID	taxonRank	occurrenceID	materialSampleID
113669	present	Hugo Gante	eDNA expeditions citizen science sampling	286974	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Polychaeta		Arenicolidae	Arenicola	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Metazoa;Annelida;Polychaeta;undef_Polychaeta;Arenicolidae;Arenicola;Arenicola_marina, confidences 1;1;1;1;1;1;1;1. Confirmation with VSEARCH against the COI_ncbi_1_50000 database at 0.97 similarity: hits JQ950327,KY652595,JQ950326,KM042098,MN311053,GQ487320,HQ023440,HQ023448, identities 100,100,99.7,99.7,99.7,99.7,97.1,97, taxonomy Arenicola_marina,Arenicola_marina,Arenicola_marina,Arenicola_marina,Arenicola_marina,Arenicola_marina,Arenicola_marina,Arenicola_marina, consensus Eukaryota;Annelida;Polychaeta;Arenicolidae;Arenicola;Arenicola_marina.	Arenicola marina	urn:lsid:marinespecies.org:taxname:129868	species	asv.1_EE0074	EE0074
111464	present	Hugo Gante	eDNA expeditions citizen science sampling	168198	DNA Sequence reads	DNA Sequence reads							Identification based on the RDP classifier at the confidence level 0.8: taxonomy Bacteria_bacteria;undef_Bacteria_bacteria;Actinomycetota;Actinomycetes;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces_alkaliphilus, confidences 0.4;0.4;0.38;0.38;0.33;0.33;0.33;0.31. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.2_EE0069	EE0069
69908	present	Hugo Gante	eDNA expeditions citizen science sampling	374528	DNA Sequence reads	DNA Sequence reads							Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;undef_undef_Eukaryota;Phaeophyceae;Fucales;Notheiaceae;Notheia;Notheia_anomala, confidences 1;0.36;0.12;0.12;0.1;0.09;0.09;0.09. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.3_EE0085	EE0085
54008	present	Hugo Gante	eDNA expeditions citizen science sampling	374528	DNA Sequence reads	DNA Sequence reads	undef_Eukaryota						Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema_subsalsum, confidences 1;0.85;0.77;0.7;0.38;0.37;0.37;0.26. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.4_EE0085	EE0085
46679	present	Hugo Gante	eDNA expeditions citizen science sampling	374528	DNA Sequence reads	DNA Sequence reads							Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;undef_undef_Eukaryota;Phaeophyceae;Fucales;Notheiaceae;Notheia;Notheia_anomala, confidences 1;0.33;0.13;0.13;0.11;0.1;0.1;0.1. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.5_EE0085	EE0085
38442	present	Hugo Gante	eDNA expeditions citizen science sampling	105920	DNA Sequence reads	DNA Sequence reads	Animalia						Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Metazoa;Arthropoda;Arachnida;Trombidiformes;Eriophyidae;Cecidophyes;Cecidophyes_fibigiae, confidences 1;0.84;0.52;0.13;0.04;0.01;0.01;0.01. No VSEARCH hits at 0.97 identity.	Metazoa	urn:lsid:marinespecies.org:taxname:1486573	subkingdom	asv.2558_EE0067	EE0067
38387	present	Hugo Gante	eDNA expeditions citizen science sampling	87633	DNA Sequence reads	DNA Sequence reads							Identification based on the RDP classifier at the confidence level 0.8: taxonomy Bacteria_bacteria;undef_Bacteria_bacteria;Actinomycetota;Actinomycetes;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces_alkaliphilus, confidences 0.36;0.36;0.33;0.33;0.3;0.3;0.3;0.28. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.6_EE0068	EE0068
33693	present	Hugo Gante	eDNA expeditions citizen science sampling	286974	DNA Sequence reads	DNA Sequence reads							Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;undef_undef_Eukaryota;Phaeophyceae;Tilopteridales;Tilopteridaceae;Tilopteris;Tilopteris_mertensii, confidences 1;0.54;0.5;0.39;0.22;0.22;0.22;0.22. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.7_EE0074	EE0074
23856	present	Hugo Gante	eDNA expeditions citizen science sampling	286974	DNA Sequence reads	DNA Sequence reads							Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;undef_undef_Eukaryota;Phaeophyceae;Fucales;Fucaceae;Fucus;Fucus_virsoides, confidences 1;0.54;0.28;0.24;0.09;0.07;0.05;0.05. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.9_EE0074	EE0074
21699	present	Hugo Gante	eDNA expeditions citizen science sampling	286974	DNA Sequence reads	DNA Sequence reads							Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;undef_Eukaryota;undef_undef_Eukaryota;Phaeophyceae;Fucales;Sargassaceae;Sargassum;Sargassum_johnstonii, confidences 1;0.72;0.33;0.32;0.26;0.16;0.13;0.09. No VSEARCH hits at 0.97 identity.	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	kingdom	asv.10_EE0074	EE0074
