asv	sum.taxonomy	identificationRemarks
1	asv.1	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.97;0.97;0.97;0.92;0.92. No VSEARCH hits at 0.97 identity.
2	asv.2	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus;s__Epinephelus_moara_x_Epinephelus_lanceolatus, confidences 1;1;1;0.96;0.82;0.81;0.4;0.05. No VSEARCH hits at 0.97 identity.
3	asv.3	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cirrhitidae;g__Paracirrhites;s__Paracirrhites_arcatus, confidences 1;0.99;0.96;0.74;0.06;0.05;0.05;0.05. No VSEARCH hits at 0.97 identity.
4	asv.4	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Nothobranchiidae;g__Nothobranchius;s__Nothobranchius_kafuensis, confidences 1;0.98;0.73;0.44;0.15;0.13;0.1;0.1. No VSEARCH hits at 0.97 identity.
5	asv.5	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__undef_Actinopteri;f__Pomacentridae;g__Microspathodon;s__Microspathodon_dorsalis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__undef_Actinopteri;f__Pomacentridae;g__Microspathodon;s__Microspathodon_dorsalis, confidences 1;1;1;1;0.99;0.99;0.99;0.87. No VSEARCH hits at 0.97 identity.
6	asv.6	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;0.97;0.76;0.62;0.53;0.42;0.42. No VSEARCH hits at 0.97 identity.
7	asv.7	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__undef_Actinopteri;f__Pomacanthidae;g__Holacanthus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__undef_Actinopteri;f__Pomacanthidae;g__Holacanthus;s__Holacanthus_passer, confidences 1;1;1;1;0.94;0.93;0.91;0.31. No VSEARCH hits at 0.97 identity.
8	asv.8	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus;s__Epinephelus_akaara, confidences 1;0.99;0.91;0.68;0.18;0.12;0.1;0.05. No VSEARCH hits at 0.97 identity.
9	asv.9	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Holocentriformes;f__Holocentridae;g__Myripristis;s__Myripristis_berndti, confidences 1;1;1;0.82;0.16;0.16;0.15;0.15. No VSEARCH hits at 0.97 identity.
10	asv.10	sk__Eukaryota;k__Metazoa;p__Chordata;c__Chondrichthyes;o__Carcharhiniformes;f__Carcharhinidae;g__Carcharhinus;s__Carcharhinus_falciformis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Chondrichthyes;o__Carcharhiniformes;f__Carcharhinidae;g__Carcharhinus;s__Carcharhinus_falciformis, confidences 1;1;1;1;0.98;0.93;0.92;0.85. No VSEARCH hits at 0.97 identity.
