organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	identificationRemarks	scientificName	scientificNameID	taxonRank	occurrenceID	materialSampleID
118174	present	Hugo Gante	eDNA expeditions citizen science sampling	373539	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Mugiliformes	Mugilidae	Oedalechilus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Oedalechilus;s__Oedalechilus_labiosus, confidences 1;1;1;1;0.99;0.99;0.98;0.98. No VSEARCH hits at 0.97 identity.	Oedalechilus labiosus	urn:lsid:marinespecies.org:taxname:218898	species	asv.2_EE0528	EE0528
58621	present	Hugo Gante	eDNA expeditions citizen science sampling	240373	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Mugiliformes	Mugilidae	Planiliza	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Planiliza;s__Planiliza_macrolepis, confidences 1;1;1;0.99;0.96;0.96;0.94;0.88. No VSEARCH hits at 0.97 identity.	Planiliza macrolepis	urn:lsid:marinespecies.org:taxname:1043424	species	asv.3_EE0524	EE0524
53874	present	Hugo Gante	eDNA expeditions citizen science sampling	304834	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.97;0.97;0.97;0.92;0.92. No VSEARCH hits at 0.97 identity.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0526	EE0526
51281	present	Hugo Gante	eDNA expeditions citizen science sampling	304834	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.98;0.96;0.95;0.94;0.94. Confirmation with VSEARCH against the 12S_ncbi_teleo database at 0.97 similarity: hits KY411495,MN503427,JQ704035,JN160804,KF683087,MH176355,JQ705512,HM357814,AP013187,KU867622, identities 100,100,100,100,100,100,100,98.6,98.6,98.6, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_heidelbergensis,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.273_EE0526	EE0526
35175	present	Hugo Gante	eDNA expeditions citizen science sampling	373539	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Mulliformes	Mullidae	Parupeneus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Mullidae;g__Parupeneus;s__Parupeneus_margaritatus, confidences 1;1;0.99;0.97;0.82;0.82;0.81;0.7. No VSEARCH hits at 0.97 identity.	Parupeneus	urn:lsid:marinespecies.org:taxname:204915	genus	asv.4_EE0528	EE0528
32979	present	Hugo Gante	eDNA expeditions citizen science sampling	304834	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata					Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__undef_Chordata;o__Testudines;f__Testudinidae;g__Testudo;s__Testudo_horsfieldii, confidences 1;1;0.95;0.53;0.53;0.42;0.25;0.21. No VSEARCH hits at 0.97 identity.	Chordata	urn:lsid:marinespecies.org:taxname:1821	phylum	asv.940_EE0526	EE0526
31448	present	Hugo Gante	eDNA expeditions citizen science sampling	304834	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Mugiliformes	Mugilidae	Oedalechilus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Oedalechilus;s__Oedalechilus_labiosus, confidences 1;1;1;1;0.99;0.99;0.98;0.98. No VSEARCH hits at 0.97 identity.	Oedalechilus labiosus	urn:lsid:marinespecies.org:taxname:218898	species	asv.2_EE0526	EE0526
23655	present	Hugo Gante	eDNA expeditions citizen science sampling	373539	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Mulliformes	Mullidae	Mulloidichthys	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Mullidae;g__Mulloidichthys;s__Mulloidichthys_vanicolensis, confidences 1;1;1;1;0.96;0.96;0.96;0.96. No VSEARCH hits at 0.97 identity.	Mulloidichthys vanicolensis	urn:lsid:marinespecies.org:taxname:218648	species	asv.5_EE0528	EE0528
19323	present	Hugo Gante	eDNA expeditions citizen science sampling	29973	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata					Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__undef_Chordata;o__Testudines;f__Testudinidae;g__Testudo;s__Testudo_horsfieldii, confidences 1;1;0.95;0.53;0.53;0.42;0.25;0.21. No VSEARCH hits at 0.97 identity.	Chordata	urn:lsid:marinespecies.org:taxname:1821	phylum	asv.940_EE0539	EE0539
18578	present	Hugo Gante	eDNA expeditions citizen science sampling	373539	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.97;0.97;0.97;0.92;0.92. No VSEARCH hits at 0.97 identity.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	asv.1_EE0528	EE0528
