asv	sum.taxonomy	identificationRemarks
1	asv.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits JQ446410,KJ801473,JN160804,KY748238,DQ867014,HM246152,HM246151,KM978387,JF339215,JF339214, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Panstrongylus_lignarius,Gallus_gallus,Thrips_alliorum,Echinothrips_americanus,Akabosia_matsudoensis,Physarum_xylophilum,Perichaena_chrysosperma, consensus Eukaryota.
2	asv.2	Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;Tylosurus_acus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;Tylosurus_acus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits KU605633,AF231532,AF231529,AF231533, identities 100,100,99.2,98.5, taxonomy Tylosurus_acus,Tylosurus_pacificus,Tylosurus_acus,Tylosurus_acus, consensus Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Tylosurus;Tylosurus_acus.
3	asv.3	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma_lucasanum	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma_lucasanum, confidences 1;1;1;1;1;0.99;0.99. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits MG547688,AY328999,AY329007,KY815454, identities 100,98.1,97.4,97.3, taxonomy Thalassoma_lucasanum,Thalassoma_lucasanum,Thalassoma_robertsoni,Thalassoma_amblycephalum, consensus Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Thalassoma.
4	asv.4	Eukaryota;Chordata;Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes_regia, confidences 1;1;1;0.74;0.67;0.32;0.24. No VSEARCH hits at 0.97 identity.
5	asv.5	Eukaryota;Chordata;Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;o_Actinopteri;Opistognathidae;Opistognathus;Opistognathus_macrognathus, confidences 1;1;1;0.21;0.16;0.16;0.16. No VSEARCH hits at 0.97 identity.
6	asv.6	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Cirrhitidae;Cirrhitus;Cirrhitus_rivulatus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Centrarchiformes;Cirrhitidae;Cirrhitus;Cirrhitus_rivulatus, confidences 1;1;1;1;1;1;0.99. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AY539059, identities 99.6, taxonomy Cirrhitus_rivulatus, consensus Eukaryota;Chordata;Actinopteri;Centrarchiformes;Cirrhitidae;Cirrhitus;Cirrhitus_rivulatus.
7	asv.7	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus_tonggol, confidences 1;1;1;1;1;1;0.71. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits MH124734,HQ641685,AB097669,KF925362,KM055377,GQ461734,MW595824,MH124735,MH124733,AB185022, identities 100,100,100,100,100,100,100,99.6,99.6,99.6, taxonomy Thunnus_tonggol,Thunnus_albacares,Thunnus_thynnus,Thunnus_maccoyii,Katsuwonus_pelamis,Thunnus_obesus,Thunnus_alalunga,Thunnus_tonggol,Thunnus_tonggol,Thunnus_orientalis, consensus Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus.
8	asv.8	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paranthias;Paranthias_colonus	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paranthias;Paranthias_colonus, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AF297301,EU099491,AY947584, identities 99.2,97.7,97.4, taxonomy Paranthias_colonus,Paranthias_colonus,Paranthias_furcifer, consensus Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paranthias;Paranthias_colonus.
9	asv.9	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Euthynnus;Euthynnus_affinis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Euthynnus;Euthynnus_affinis, confidences 1;1;1;1;1;0.92;0.91. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits OP057037,MW911758,MW595783,LN558775,AP006829,GU325784,HM071030, identities 100,100,100,100,97.7,97.3,97.3, taxonomy Sphyrna_zygaena,Euthynnus_affinis,Auxis_thazard,Euthynnus_lineatus,Euthynnus_alletteratus,Thunnus_tonggol,Thunnus_obesus, consensus Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae.
10	asv.10	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Melichthys;Melichthys_niger	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Melichthys;Melichthys_niger, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 16S_ncbi_euk_1_50000_pga database at 0.97 similarity: hits AF488471,KT601010, identities 100,97.7, taxonomy Melichthys_niger,Melichthys_niger, consensus Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Melichthys;Melichthys_niger.
