asv	sum.taxonomy	identificationRemarks
1	asv.1	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.97;0.97;0.97;0.92;0.92. No VSEARCH hits at 0.97 identity.
2	asv.2	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Setipinna;s__Setipinna_tenuifilis, confidences 1;1;0.97;0.85;0.36;0.31;0.14;0.1. No VSEARCH hits at 0.97 identity.
3	asv.3	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Siluriformes;f__Ariidae;g__Arius;s__Arius_maculatus, confidences 1;1;1;0.87;0.67;0.3;0.21;0.08. No VSEARCH hits at 0.97 identity.
4	asv.4	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Setipinna;s__Setipinna_tenuifilis	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Setipinna;s__Setipinna_tenuifilis, confidences 1;1;1;1;1;1;0.96;0.94. No VSEARCH hits at 0.97 identity.
5	asv.5	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Pseudogobius;s__Pseudogobius_javanicus, confidences 1;1;0.95;0.79;0.18;0.18;0.16;0.16. No VSEARCH hits at 0.97 identity.
6	asv.6	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Spariformes;f__Sparidae;g__Acanthopagrus;s__Acanthopagrus_latus, confidences 1;1;0.97;0.87;0.61;0.59;0.54;0.41. No VSEARCH hits at 0.97 identity.
7	asv.7	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Neochelon;s__Neochelon_falcipinnis, confidences 1;0.99;0.97;0.75;0.29;0.29;0.11;0.11. No VSEARCH hits at 0.97 identity.
8	asv.8	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Siluriformes;f__Pangasiidae;g__Pangasius;s__Pangasius_pangasius	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Siluriformes;f__Pangasiidae;g__Pangasius;s__Pangasius_pangasius, confidences 1;1;1;1;1;1;1;0.99. No VSEARCH hits at 0.97 identity.
9	asv.9	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Neochelon;s__Neochelon_falcipinnis, confidences 1;0.97;0.94;0.71;0.26;0.26;0.1;0.1. No VSEARCH hits at 0.97 identity.
10	asv.10	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Anodontostoma;s__Anodontostoma_chacunda	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Anodontostoma;s__Anodontostoma_chacunda, confidences 1;1;1;0.98;0.92;0.91;0.84;0.84. No VSEARCH hits at 0.97 identity.
